Tour Name,Type,Rating,Number of reviews,Price,Duration (hrs)
Japan Unlimited WiFi Router - Free Delivery to Anywhere in Japan,Rentals,5.0,12,25.34,396.0
Ninja 1-hour hands-on lesson in English in Tokyo,Fun & Games,5.0,9,5.43,1.0
IKEBANA experience,Craft Classes,5.0,2,209.96,1.5
Stroll through Tokyo’s Kitchen: Smells & Sights of the Tsukiji Fish Market,Food & Drink,5.0,9,108.6,2.5
Tsumami-Zaiku Fabric Craft Activity,Craft Classes,5.0,3,200.0,2.0
Family and Beginner Friendly Origami Experience in Asakusa,Craft Classes,5.0,1,304.08,0.8
Grand Sumo Tournament Tour in Tokyo,Historical Tours,5.0,4,58.64,6.0
Blade Runner Shots in Shibuya with Laurence Bouchard,Photo Shoots,5.0,4,94.12,2.0
Tokyo Private Tours(various options),Day Trips,4.5,3,16.73,5.5
Tokyo 6 hours Customized Private Tour,Public Transportation Tours,5.0,6,311.32,6.0
Authentic Zen Experience at temple in Tokyo,Walking Tours,5.0,29,202.72,1.5
Tokyo Grand Sumo Tournament Viewing Tour,Extreme Sports,5.0,7,36.2,5.5
NIKKO PASS World Heritage Area,Sightseeing Passes,5.0,1,327.75,36.0
Nikko Full-Day Private Walking Tour with Government-Licensed Guide (Tokyo DEP.),Public Transportation Tours,5.0,12,1071.51,9.5
Tokyo Metropolis,Architecture Tours,4.5,2,37.23,2.5
"""Nippori Fabric Town"" Walking Tour",Fashion Tours,5.0,45,43.44,2.0
Private Tokyo Food Tour - A Journey Through Time Through Food,Public Transportation Tours,5.0,3,60.02,5.5
Tokyo Private Car Tour: Professional Guide and Driver/Optional airport xfer,Bus Tours,5.0,2,57.92,6.0
Shared Departure Transfer : Central Tokyo Hotel to Haneda Airport,Transportation Services,5.0,2,78.19,2.0
Traditional Japanese Music ZAKURO SHOW in Tokyo,Acoustic Concerts,5.0,2,5.79,1.0
Explore the Hidden Local Bars in Shibuya - 3.5 Hours,Food & Drink,5.0,2,79.64,3.5
